trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.2, 'e': 0.7849999999999998}",25,14,-21.3823619278769,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
44,False,"{'a': 0.2, 'e': 0.7799999999999998}",25,0,-152.85430779306878,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
45,False,"{'a': 0.2, 'e': 0.7749999999999998}",20,1,-17.584590878143892,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
46,False,"{'a': 0.2, 'e': 0.7699999999999998}",25,0,-167.54538463881497,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
47,False,"{'a': 0.2, 'e': 0.7649999999999998}",35,0,-171.12623469786251,"{0: 23, 1: 3, 2: 6, 3: 0, 4: 3}",0
48,False,"{'a': 0.2, 'e': 0.7599999999999998}",20,7,-71.78676122045981,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 1}",1
49,False,"{'a': 0.2, 'e': 0.7549999999999998}",20,0,-11.376382218147686,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
50,False,"{'a': 0.2, 'e': 0.7499999999999998}",25,2,-99.67638509500959,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 1}",1
51,False,"{'a': 0.2, 'e': 0.7449999999999998}",20,0,-69.34139131268587,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.2, 'e': 0.7399999999999998}",25,3,-100.68275828197507,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 2}",1
53,False,"{'a': 0.2, 'e': 0.7349999999999998}",20,0,-76.51490862717367,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
54,False,"{'a': 0.2, 'e': 0.7299999999999998}",20,0,-66.80154618756313,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
55,False,"{'a': 0.2, 'e': 0.7249999999999998}",25,0,-121.15421132436695,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
56,False,"{'a': 0.2, 'e': 0.7199999999999998}",25,18,-34.88130595268781,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.2, 'e': 0.7149999999999997}",25,0,-48.3227406374991,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.2, 'e': 0.7099999999999997}",20,0,-78.29194267497496,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
59,False,"{'a': 0.2, 'e': 0.7049999999999997}",20,9,-36.568772512659656,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
60,False,"{'a': 0.2, 'e': 0.6999999999999997}",25,0,-128.08325728169922,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
61,False,"{'a': 0.2, 'e': 0.6949999999999997}",30,0,-37.2677536734831,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
62,False,"{'a': 0.2, 'e': 0.6899999999999997}",20,0,-135.88508510536442,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
63,False,"{'a': 0.2, 'e': 0.6849999999999997}",20,0,-53.43099759787977,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
64,False,"{'a': 0.2, 'e': 0.6799999999999997}",20,0,-99.88961027657034,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
65,False,"{'a': 0.2, 'e': 0.6749999999999997}",30,0,-92.94272640049876,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
66,False,"{'a': 0.2, 'e': 0.6699999999999997}",20,10,-19.629188210544726,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.2, 'e': 0.6649999999999997}",30,0,-268.24262242049616,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 5}",0
68,False,"{'a': 0.2, 'e': 0.6599999999999997}",20,2,-96.14490255189335,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 2}",1
